model_name,acc,MR1,MR1_acc,MR1_correct,MR1_incorrect,non_MR1,non_MR1_acc,non_MR1_correct,non_MR1_incorrect,MR2,MR2_acc,MR2_correct,MR2_incorrect,non_MR2,non_MR2_acc,non_MR2_correct,non_MR2_incorrect,MR1&2,MR1&2_acc,MR1&2_correct,MR1&2_incorrect,non_MR1&2,non_MR1&2_acc,non_MR1&2_correct,non_MR1&2_incorrect,acc_num
L,45.536%,2203.0,45.983%,1013,1190,38301.0,45.511%,17431,20870,21987.0,22.868%,5028,16959,18517.0,72.452%,13416,5101,1532,28.851%,442,1090,38972,46.192%,18002,20970,18444.0
XL,47.914%,2112.0,45.312%,957,1155,38392.0,48.057%,18450,19942,20410.0,23.185%,4732,15678,20094.0,73.032%,14675,5419,1401,25.839%,362,1039,39103,48.705%,19045,20058,19407.0
MLCCOCO,34.463%,1577.0,41.661%,657,920,38927.0,34.172%,13302,25625,21688.0,22.469%,4873,16815,18816.0,48.289%,9086,9730,1254,33.652%,422,832,39250,34.489%,13537,25713,13959.0
